Date,Open,High,Low,Close,VIX Open,VIX High,VIX Low,VIX Close,Target
2020-11-30,124.099998,125.0,123.089996,123.519997,22.64,22.89,20.48,20.57,123.160004
2020-12-01,123.900002,125.83000200000001,123.08000200000001,123.160004,20.21,20.92,20.0,20.77,124.620003
2020-12-02,122.849998,124.639999,122.410004,124.620003,21.0,21.25,20.04,21.17,123.610001
2020-12-03,124.160004,124.860001,123.290001,123.610001,21.24,21.88,20.72,21.28,127.199997
2020-12-04,123.970001,127.379997,123.639999,127.199997,21.05,21.15,19.97,20.79,124.699997
2020-12-07,126.489998,126.970001,124.57,124.699997,22.04,22.62,21.17,21.3,125.709999
2020-12-08,125.32,126.33000200000001,124.639999,125.709999,21.65,22.25,20.52,20.68,126.790001
2020-12-09,125.800003,127.690002,125.699997,126.790001,20.66,22.93,20.1,22.27,124.959999
2020-12-10,126.349998,126.93,124.940002,124.959999,22.12,23.46,21.53,22.52,124.269997
2020-12-11,124.08000200000001,125.510002,123.610001,124.269997,22.49,25.14,22.48,23.31,123.529999
2020-12-14,125.32,126.239998,123.470001,123.529999,22.67,24.82,21.95,24.72,125.93
2020-12-15,124.389999,125.93,123.440002,125.93,24.0,24.07,22.73,22.89,125.550003
2020-12-16,125.93,126.57,125.290001,125.550003,22.51,23.67,22.29,22.5,125.550003
2020-12-17,126.08000200000001,126.089996,124.910004,125.550003,21.98,22.27,21.52,21.93,125.849998
2020-12-18,125.589996,126.400002,124.970001,125.849998,22.15,23.77,21.57,21.57,123.389999
2020-12-21,123.970001,124.18,121.720001,123.389999,24.25,31.46,24.23,25.16,123.610001
2020-12-22,123.309998,124.220001,122.410004,123.610001,25.24,25.56,23.53,24.23,123.900002
2020-12-23,123.879997,125.209999,123.739998,123.900002,23.49,23.68,22.13,23.31,124.690002
2020-12-24,125.0,125.099998,124.209999,124.690002,22.47,22.83,21.39,21.53,124.82
2020-12-28,125.099998,126.599998,124.459999,124.82,22.11,22.12,21.15,21.7,123.800003
2020-12-29,125.349998,125.480003,123.239998,123.800003,21.61,23.72,20.99,23.08,124.339996
2020-12-30,123.800003,124.849998,123.629997,124.339996,22.58,23.15,22.41,22.77,125.879997
2020-12-31,124.220001,126.029999,123.989998,125.879997,22.99,23.25,21.24,22.75,123.940002
2021-01-04,125.849998,125.91999799999999,123.040001,123.940002,23.04,29.19,22.56,26.97,126.139999
2021-01-05,125.010002,126.68,124.610001,126.139999,26.94,28.6,24.8,25.34,129.28999299999998
2021-01-06,126.900002,131.880005,126.720001,129.28999299999998,25.48,26.77,22.14,25.07,128.990005
2021-01-07,130.03999299999998,130.46000700000002,128.259995,128.990005,23.67,23.91,22.25,22.37,128.529999
2021-01-08,128.570007,129.320007,126.980003,128.529999,22.43,23.34,21.42,21.56,128.580002
2021-01-11,127.949997,129.679993,127.660004,128.580002,23.31,24.81,23.23,24.08,129.21000700000002
2021-01-12,129.08999599999999,129.850006,127.940002,129.21000700000002,23.49,25.15,22.83,23.33,126.91999799999999
2021-01-13,129.149994,129.75,126.459999,126.91999799999999,23.07,24.18,21.92,22.21,128.970001
